baseline,model,case,feature,optimized_rank,optimized_mean_abs_shap,gan_rank,gan_mean_abs_shap,synthetic_ratio,mean_abs_shap_delta
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_roll_mean_3,1.0,27.829809394735978,1.0,26.93259661455704,0.0,-0.8972127801789398
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_lag_3,15.0,0.05773068948593032,15.0,0.07035068877832869,0.0,0.01261999929239837
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,occupancy_lag_3,13.0,0.06639738414893163,,,,
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_roll_mean_3,1.0,13.729743957519531,1.0,15.231024742126465,0.0,1.5012807846069336
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,occupancy_roll_mean_3,2.0,10.034398078918457,2.0,8.236417770385742,0.0,-1.7979803085327148
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,hour,3.0,5.1902570724487305,3.0,5.002434253692627,0.0,-0.18782281875610352
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_roll_mean_6,4.0,4.644776821136475,4.0,3.682917594909668,0.0,-0.9618592262268066
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,other,5.0,3.3805196285247803,5.0,3.6358609199523926,0.0,0.2553412914276123
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_lag_3,6.0,2.063663959503174,6.0,2.1318228244781494,0.0,0.06815886497497559
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,occupancy_roll_mean_6,7.0,1.35090172290802,7.0,1.9548630714416504,0.0,0.6039613485336304
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,weekday,9.0,0.7633851766586304,8.0,0.8139777183532715,0.0,0.05059254169464111
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_lag_12,11.0,0.744326114654541,9.0,0.8023578524589539,0.0,0.05803173780441284
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_roll_mean_12,10.0,0.7578869462013245,10.0,0.6751583814620972,0.0,-0.0827285647392273
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,speed_roll_mean_3,8.0,0.9150992035865784,11.0,0.6296537518501282,0.0,-0.2854454517364502
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,speed_lag_6,12.0,0.5334925055503845,12.0,0.509442925453186,0.0,-0.024049580097198486
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,occupancy_roll_mean_12,14.0,0.44599649310112,13.0,0.4627450406551361,0.0,0.016748547554016113
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,occupancy_lag_12,15.0,0.4380183815956116,14.0,0.4510318338871002,0.0,0.013013452291488647
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,occupancy_lag_3,,,15.0,0.3529042899608612,0.0,
Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_lag_2,13.0,0.4642760157585144,,,,
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,flow_roll_mean_3,1.0,26.556425422722523,1.0,25.999983150969413,0.0,-0.5564422717531095
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,flow_roll_mean_6,2.0,5.2430108988445685,2.0,4.4933538633432795,0.0,-0.749657035501289
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,flow_lag_12,4.0,1.494440577996893,3.0,1.630918786985122,0.0,0.13647820898822904
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,occupancy_roll_mean_3,7.0,0.5867938547455325,4.0,1.4222905252707962,0.0,0.8354966705252638
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,hour,3.0,1.5566592176631626,5.0,1.2562806216366411,0.0,-0.3003785960265215
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,other,5.0,0.604486946828369,6.0,0.666160196206948,0.0,0.06167324937857899
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,occupancy_lag_12,6.0,0.5938832817505482,7.0,0.6167763748983565,0.0,0.022893093147808297
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,flow_roll_mean_12,8.0,0.5487691259625607,8.0,0.5435717014115664,0.0,-0.005197424550994256
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,occupancy_roll_mean_6,9.0,0.4047707111414436,9.0,0.5163668605438273,0.0,0.11159614940238372
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,occupancy_roll_mean_12,12.0,0.1813379777009075,10.0,0.34631774159575607,0.0,0.16497976389484856
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,is_weekend,11.0,0.3222522446400202,11.0,0.2616088311303505,0.0,-0.06064341350966973
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,weekday,10.0,0.3509332843067904,12.0,0.24380735608802123,0.0,-0.10712592821876915
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,flow_lag_3,13.0,0.13682484614546506,13.0,0.1900294172995162,0.0,0.05320457115405114
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,occupancy_lag_3,14.0,0.05902737683280198,14.0,0.07801966836381373,0.0,0.01899229153101175
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,speed_lag_6,,,15.0,0.046260411684896745,0.0,
Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,speed_roll_mean_12,15.0,0.051257508404886486,,,,
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_roll_mean_3,1.0,13.575440406799316,1.0,13.321306228637695,0.0,-0.2541341781616211
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,occupancy_roll_mean_3,2.0,7.205479621887207,2.0,9.153963088989258,0.0,1.9484834671020508
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,hour,4.0,4.966829776763916,3.0,5.1543073654174805,0.0,0.18747758865356445
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_roll_mean_6,3.0,5.035998821258545,4.0,3.5474014282226562,0.0,-1.4885973930358887
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,other,5.0,3.575469732284546,5.0,3.5204660892486572,0.0,-0.05500364303588867
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_lag_3,6.0,2.435983657836914,6.0,2.707156181335449,0.0,0.27117252349853516
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,occupancy_roll_mean_6,7.0,1.853530764579773,7.0,1.7270960807800293,0.0,-0.12643468379974365
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,speed_roll_mean_3,8.0,0.8939708471298218,8.0,1.0441806316375732,0.0,0.15020978450775146
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,weekday,9.0,0.7850245237350464,9.0,0.8594335913658142,0.0,0.07440906763076782
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_roll_mean_12,10.0,0.780546247959137,10.0,0.6876013278961182,0.0,-0.0929449200630188
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_lag_12,11.0,0.6292954683303833,11.0,0.6717599034309387,0.0,0.04246443510055542
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_lag_6,13.0,0.4398438632488251,12.0,0.564421534538269,0.0,0.12457767128944397
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,occupancy_lag_12,14.0,0.33890530467033386,13.0,0.4778522849082947,0.0,0.13894698023796082
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,occupancy_lag_6,12.0,0.5017178654670715,14.0,0.4398058354854584,0.0,-0.06191202998161316
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,speed_lag_3,,,15.0,0.3358624279499054,0.0,
Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,occupancy_roll_mean_12,15.0,0.295942485332489,,,,
