stage,baseline,model,case,feature,mean_abs_shap,is_other,rank
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_roll_mean_3,27.829809394735978,False,1
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_lag_12,0.744326114654541,False,11
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,speed_lag_6,0.5334925055503845,False,12
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_lag_2,0.4642760157585144,False,13
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,occupancy_roll_mean_12,0.44599649310112,False,14
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,occupancy_lag_12,0.4380183815956116,False,15
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,flow_roll_mean_3,26.556425422722523,False,1
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,flow_roll_mean_6,5.2430108988445685,False,2
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,hour,1.5566592176631626,False,3
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,flow_lag_12,1.494440577996893,False,4
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,other,0.604486946828369,True,5
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,occupancy_lag_12,0.5938832817505482,False,6
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,occupancy_roll_mean_3,0.5867938547455325,False,7
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,flow_roll_mean_12,0.5487691259625607,False,8
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,occupancy_roll_mean_6,0.4047707111414436,False,9
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,weekday,0.3509332843067904,False,10
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,is_weekend,0.3222522446400202,False,11
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,occupancy_roll_mean_12,0.1813379777009075,False,12
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,flow_lag_3,0.13682484614546506,False,13
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,occupancy_lag_3,0.05902737683280198,False,14
optimized_original,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,speed_roll_mean_12,0.051257508404886486,False,15
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_roll_mean_3,13.575440406799316,False,1
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,occupancy_roll_mean_3,7.205479621887207,False,2
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_roll_mean_6,5.035998821258545,False,3
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,hour,4.966829776763916,False,4
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,other,3.575469732284546,True,5
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_lag_3,2.435983657836914,False,6
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,occupancy_roll_mean_6,1.853530764579773,False,7
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,speed_roll_mean_3,0.8939708471298218,False,8
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,weekday,0.7850245237350464,False,9
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_roll_mean_12,0.780546247959137,False,10
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_lag_12,0.6292954683303833,False,11
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,occupancy_lag_6,0.5017178654670715,False,12
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,flow_lag_6,0.4398438632488251,False,13
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,occupancy_lag_12,0.33890530467033386,False,14
optimized_original,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,occupancy_roll_mean_12,0.295942485332489,False,15
